kombinasi,n_fitur,model,fold,f1_macro,f1_AI,akurasi,presisi_AI,recall_AI,bal_acc,roc_auc
sty+tfidf+perp,3,XGBoost,5,0.9782,0.9781,0.9782,0.9898,0.9667,0.9783,0.9989
sty+tfidf+perp,3,CatBoost,1,0.9833,0.9833,0.9833,0.9833,0.9833,0.9833,0.9982
sty+tfidf+perp,3,CatBoost,2,0.9833,0.9832,0.9833,0.9882,0.9783,0.9833,0.9973
sty+tfidf+perp,3,CatBoost,3,0.9783,0.9783,0.9783,0.9815,0.975,0.9783,0.9969
sty+tfidf+perp,3,CatBoost,4,0.9824,0.9825,0.9824,0.9817,0.9833,0.9824,0.9979
sty+tfidf+perp,3,CatBoost,5,0.9799,0.9799,0.9799,0.9865,0.9733,0.9799,0.9991
sty+bert+perp,3,Random Forest,1,0.9716,0.9714,0.9716,0.9797,0.9633,0.9716,0.9969
sty+bert+perp,3,Random Forest,2,0.9707,0.9705,0.9707,0.9829,0.9583,0.9708,0.9959
sty+bert+perp,3,Random Forest,3,0.9666,0.9662,0.9666,0.9811,0.9517,0.9666,0.996
sty+bert+perp,3,Random Forest,4,0.9766,0.9765,0.9766,0.9815,0.9717,0.9766,0.9966
sty+bert+perp,3,Random Forest,5,0.9699,0.9695,0.9699,0.9845,0.955,0.9699,0.9967
sty+bert+perp,3,XGBoost,1,0.9841,0.9842,0.9841,0.985,0.9833,0.9841,0.9983
sty+bert+perp,3,XGBoost,2,0.9833,0.9832,0.9833,0.9915,0.975,0.9833,0.9986
sty+bert+perp,3,XGBoost,3,0.9774,0.9774,0.9774,0.9799,0.975,0.9774,0.998
sty+bert+perp,3,XGBoost,4,0.9833,0.9833,0.9833,0.9833,0.9833,0.9833,0.9989
sty+bert+perp,3,XGBoost,5,0.9757,0.9758,0.9757,0.9782,0.9733,0.9757,0.9988
sty+bert+perp,3,CatBoost,1,0.9849,0.985,0.9849,0.985,0.985,0.9849,0.9985
sty+bert+perp,3,CatBoost,2,0.9849,0.9849,0.9849,0.9899,0.98,0.985,0.9978
sty+bert+perp,3,CatBoost,3,0.9808,0.9808,0.9808,0.9832,0.9783,0.9808,0.9978
sty+bert+perp,3,CatBoost,4,0.9841,0.9842,0.9841,0.985,0.9833,0.9841,0.9985
sty+bert+perp,3,CatBoost,5,0.9799,0.9799,0.9799,0.9832,0.9767,0.9799,0.9989
tfidf+bert+perp,3,Random Forest,1,0.9699,0.97,0.9699,0.9684,0.9717,0.9699,0.9956
tfidf+bert+perp,3,Random Forest,2,0.9791,0.979,0.9791,0.9865,0.9717,0.9791,0.9967
tfidf+bert+perp,3,Random Forest,3,0.9624,0.9628,0.9624,0.9557,0.97,0.9623,0.9927
tfidf+bert+perp,3,Random Forest,4,0.9799,0.98,0.9799,0.98,0.98,0.9799,0.9977
tfidf+bert+perp,3,Random Forest,5,0.9665,0.9662,0.9665,0.9795,0.9533,0.9666,0.9966
tfidf+bert+perp,3,XGBoost,1,0.9724,0.9727,0.9724,0.9671,0.9783,0.9724,0.9974
tfidf+bert+perp,3,XGBoost,2,0.9833,0.9833,0.9833,0.9866,0.98,0.9833,0.9979
tfidf+bert+perp,3,XGBoost,3,0.9741,0.9743,0.9741,0.9702,0.9783,0.9741,0.9969
